Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
1998,3.1.1 Life expectancy at birth,,Female,,Years,58.3
2000,3.1.1 Life expectancy at birth,,Female,,Years,54.4
2001,3.1.1 Life expectancy at birth,,Female,,Years,55.1
2002,3.1.1 Life expectancy at birth,,Female,,Years,55.8
2003,3.1.1 Life expectancy at birth,,Female,,Years,56.5
2004,3.1.1 Life expectancy at birth,,Female,,Years,57.2
2005,3.1.1 Life expectancy at birth,,Female,,Years,57.9
2006,3.1.1 Life expectancy at birth,,Female,,Years,58.6
2007,3.1.1 Life expectancy at birth,,Female,,Years,59.3
2008,3.1.1 Life expectancy at birth,,Female,,Years,64.3
2009,3.1.1 Life expectancy at birth,,Female,,Years,65.2
2010,3.1.1 Life expectancy at birth,,Female,,Years,66.1
2011,3.1.1 Life expectancy at birth,,Female,,Years,67.0
2012,3.1.1 Life expectancy at birth,,Female,,Years,67.9
2013,3.1.1 Life expectancy at birth,,Female,,Years,68.8
2014,3.1.1 Life expectancy at birth,,Female,,Years,69.6
2015,3.1.1 Life expectancy at birth,,Female,,Years,70.4
2016,3.1.1 Life expectancy at birth,,Female,,Years,71.2
2017,3.1.1 Life expectancy at birth,,Female,,Years,72.0
2018,3.1.1 Life expectancy at birth,,Female,,Years,72.7
2019,3.1.1 Life expectancy at birth,,Female,,Years,76.8
1998,3.1.1 Life expectancy at birth,,Male,,Years,54.4
2000,3.1.1 Life expectancy at birth,,Male,,Years,60.6
2001,3.1.1 Life expectancy at birth,,Male,,Years,61.3
2002,3.1.1 Life expectancy at birth,,Male,,Years,62.0
2003,3.1.1 Life expectancy at birth,,Male,,Years,62.7
2004,3.1.1 Life expectancy at birth,,Male,,Years,63.4
2005,3.1.1 Life expectancy at birth,,Male,,Years,64.1
2006,3.1.1 Life expectancy at birth,,Male,,Years,64.9
2007,3.1.1 Life expectancy at birth,,Male,,Years,65.6
2008,3.1.1 Life expectancy at birth,,Male,,Years,60.5
2009,3.1.1 Life expectancy at birth,,Male,,Years,61.4
2010,3.1.1 Life expectancy at birth,,Male,,Years,62.3
2011,3.1.1 Life expectancy at birth,,Male,,Years,63.1
2012,3.1.1 Life expectancy at birth,,Male,,Years,64.0
2013,3.1.1 Life expectancy at birth,,Male,,Years,64.8
2014,3.1.1 Life expectancy at birth,,Male,,Years,65.6
2015,3.1.1 Life expectancy at birth,,Male,,Years,66.4
2016,3.1.1 Life expectancy at birth,,Male,,Years,67.1
2017,3.1.1 Life expectancy at birth,,Male,,Years,67.9
2018,3.1.1 Life expectancy at birth,,Male,,Years,68.6
2019,3.1.1 Life expectancy at birth,,Male,,Years,74.3
1998,3.1.1 Life expectancy at birth,,,,Years,56.3
2000,3.1.1 Life expectancy at birth,,,,Years,57.5
2001,3.1.1 Life expectancy at birth,,,,Years,58.2
2002,3.1.1 Life expectancy at birth,,,,Years,58.9
2003,3.1.1 Life expectancy at birth,,,,Years,59.6
2004,3.1.1 Life expectancy at birth,,,,Years,60.3
2005,3.1.1 Life expectancy at birth,,,,Years,61.0
2006,3.1.1 Life expectancy at birth,,,,Years,61.7
2007,3.1.1 Life expectancy at birth,,,,Years,62.4
2008,3.1.1 Life expectancy at birth,,,,Years,62.4
2009,3.1.1 Life expectancy at birth,,,,Years,63.8
2010,3.1.1 Life expectancy at birth,,,,Years,64.5
2011,3.1.1 Life expectancy at birth,,,,Years,65.2
2012,3.1.1 Life expectancy at birth,,,,Years,66.7
2013,3.1.1 Life expectancy at birth,,,,Years,67.6
2014,3.1.1 Life expectancy at birth,,,,Years,68.3
2015,3.1.1 Life expectancy at birth,,,,Years,69.1
2016,3.1.1 Life expectancy at birth,,,,Years,69.9
2017,3.1.1 Life expectancy at birth,,,,Years,70.6
2018,3.1.1 Life expectancy at birth,,,,Years,70.6
2019,3.1.1 Life expectancy at birth,,,,Years,75.5
1998,3.1.1 Life expectancy at birth,,,Urban,Years,60.0
2019,3.1.1 Life expectancy at birth,,,Urban,Years,75.6
1998,3.1.1 Life expectancy at birth,,,Rural,Years,55.8
2019,3.1.1 Life expectancy at birth,,,Rural,Years,74.5
2008,3.1.1 Life expectancy at birth,Banteay Meanchey,Female,,Years,67.9
2008,3.1.1 Life expectancy at birth,Banteay Meanchey,Male,,Years,64.0
2008,3.1.1 Life expectancy at birth,Banteay Meanchey,,,Years,65.9
2008,3.1.1 Life expectancy at birth,Battambang,Female,,Years,67.2
2008,3.1.1 Life expectancy at birth,Battambang,Male,,Years,63.3
2008,3.1.1 Life expectancy at birth,Battambang,,,Years,65.2
2008,3.1.1 Life expectancy at birth,Kampong Cham,Female,,Years,66.7
2008,3.1.1 Life expectancy at birth,Kampong Cham,Male,,Years,62.9
2008,3.1.1 Life expectancy at birth,Kampong Cham,,,Years,64.8
2008,3.1.1 Life expectancy at birth,Kampong Chhnang,Female,,Years,68.6
2008,3.1.1 Life expectancy at birth,Kampong Chhnang,Male,,Years,64.7
2008,3.1.1 Life expectancy at birth,Kampong Chhnang,,,Years,66.6
2008,3.1.1 Life expectancy at birth,Kampong Speu,Female,,Years,63.8
2008,3.1.1 Life expectancy at birth,Kampong Speu,Male,,Years,60.0
2008,3.1.1 Life expectancy at birth,Kampong Speu,,,Years,61.8
2008,3.1.1 Life expectancy at birth,Kampong Thom,Female,,Years,64.7
2008,3.1.1 Life expectancy at birth,Kampong Thom,Male,,Years,60.9
2008,3.1.1 Life expectancy at birth,Kampong Thom,,,Years,62.8
2008,3.1.1 Life expectancy at birth,Kampot,Female,,Years,62.1
2008,3.1.1 Life expectancy at birth,Kampot,Male,,Years,58.5
2008,3.1.1 Life expectancy at birth,Kampot,,,Years,60.2
2008,3.1.1 Life expectancy at birth,Kandal,Female,,Years,67.1
2008,3.1.1 Life expectancy at birth,Kandal,Male,,Years,63.2
2008,3.1.1 Life expectancy at birth,Kandal,,,Years,65.1
2008,3.1.1 Life expectancy at birth,Kep,Female,,Years,65.0
2008,3.1.1 Life expectancy at birth,Kep,Male,,Years,61.2
2008,3.1.1 Life expectancy at birth,Kep,,,Years,63.0
2008,3.1.1 Life expectancy at birth,Koh Kong,Female,,Years,60.9
2008,3.1.1 Life expectancy at birth,Koh Kong,Male,,Years,57.3
2008,3.1.1 Life expectancy at birth,Koh Kong,,,Years,59.1
2008,3.1.1 Life expectancy at birth,Kratie,Female,,Years,60.5
2008,3.1.1 Life expectancy at birth,Kratie,Male,,Years,57.0
2008,3.1.1 Life expectancy at birth,Kratie,,,Years,58.7
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Female,,Years,45.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,Male,,Years,52.5
2008,3.1.1 Life expectancy at birth,Mondul Kiri,,,Years,44.0
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Female,,Years,60.8
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,Male,,Years,57.2
2008,3.1.1 Life expectancy at birth,Oddar Meanchey,,,Years,59.0
2008,3.1.1 Life expectancy at birth,Pailin,Female,,Years,64.2
2008,3.1.1 Life expectancy at birth,Pailin,Male,,Years,60.4
2008,3.1.1 Life expectancy at birth,Pailin,,,Years,62.3
2008,3.1.1 Life expectancy at birth,Phnom Penh,Female,,Years,70.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,Male,,Years,66.8
2008,3.1.1 Life expectancy at birth,Phnom Penh,,,Years,68.8
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Female,,Years,54.4
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,Male,,Years,51.3
2008,3.1.1 Life expectancy at birth,Preah Sihanouk,,,Years,52.8
2008,3.1.1 Life expectancy at birth,Preah Vihear,Female,,Years,43.4
2008,3.1.1 Life expectancy at birth,Preah Vihear,Male,,Years,40.5
2008,3.1.1 Life expectancy at birth,Preah Vihear,,,Years,41.9
2008,3.1.1 Life expectancy at birth,Prey Veng,Female,,Years,65.7
2008,3.1.1 Life expectancy at birth,Prey Veng,Male,,Years,61.9
2008,3.1.1 Life expectancy at birth,Prey Veng,,,Years,63.8
2008,3.1.1 Life expectancy at birth,Pursat,Female,,Years,65.1
2008,3.1.1 Life expectancy at birth,Pursat,Male,,Years,61.4
2008,3.1.1 Life expectancy at birth,Pursat,,,Years,63.2
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Female,,Years,35.0
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,Male,,Years,32.5
2008,3.1.1 Life expectancy at birth,Ratanak Kiri,,,Years,33.7
2008,3.1.1 Life expectancy at birth,Siemreap,Female,,Years,70.0
2008,3.1.1 Life expectancy at birth,Siemreap,Male,,Years,66.1
2008,3.1.1 Life expectancy at birth,Siemreap,,,Years,68.7
2008,3.1.1 Life expectancy at birth,Stung Treng,Female,,Years,54.6
2008,3.1.1 Life expectancy at birth,Stung Treng,Male,,Years,51.5
2008,3.1.1 Life expectancy at birth,Stung Treng,,,Years,53.0
2008,3.1.1 Life expectancy at birth,Svay Rieng,Female,,Years,58.8
2008,3.1.1 Life expectancy at birth,Svay Rieng,Male,,Years,55.3
2008,3.1.1 Life expectancy at birth,Svay Rieng,,,Years,57.0
2008,3.1.1 Life expectancy at birth,Takeo,Female,,Years,64.3
2008,3.1.1 Life expectancy at birth,Takeo,Male,,Years,60.5
2008,3.1.1 Life expectancy at birth,Takeo,,,Years,62.4
2019,3.1.1 Life expectancy at birth,,Female,Urban,Years,77.7
2019,3.1.1 Life expectancy at birth,,Female,Rural,Years,76.4
2019,3.1.1 Life expectancy at birth,,Male,Rural,Years,72.8
2019,3.1.1 Life expectancy at birth,,Male,Urban,Years,73.5
