Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2011,N_KH_04010102_01,KH10,F,,PT,33.8
2012,N_KH_04010102_01,KH10,F,,PT,34.2
2013,N_KH_04010102_01,KH10,F,,PT,33.1
2014,N_KH_04010102_01,KH10,F,,PT,32.0
2015,N_KH_04010102_01,KH10,F,,PT,31.8
2016,N_KH_04010102_01,KH10,F,,PT,37.4
2017,N_KH_04010102_01,KH10,F,,PT,39.5
2018,N_KH_04010102_01,KH10,F,,PT,37.3
2019,N_KH_04010102_01,KH10,F,,PT,37.4
2009,N_KH_04010102_01,KH10,M,,PT,37.7
2010,N_KH_04010102_01,KH10,M,,PT,42.9
2011,N_KH_04010102_01,KH10,M,,PT,32.7
2012,N_KH_04010102_01,KH10,M,,PT,30.9
2013,N_KH_04010102_01,KH10,M,,PT,29.5
2014,N_KH_04010102_01,KH10,M,,PT,27.9
2015,N_KH_04010102_01,KH10,M,,PT,28.0
2016,N_KH_04010102_01,KH10,M,,PT,30.4
2017,N_KH_04010102_01,KH10,M,,PT,30.4
2018,N_KH_04010102_01,KH10,M,,PT,31.5
2019,N_KH_04010102_01,KH10,M,,PT,28.5
2009,N_KH_04010102_01,KH10,,,PT,38.6
2010,N_KH_04010102_01,KH10,,,PT,44.6
2011,N_KH_04010102_01,KH10,,,PT,33.3
2012,N_KH_04010102_01,KH10,,,PT,32.5
2013,N_KH_04010102_01,KH10,,,PT,31.3
2014,N_KH_04010102_01,KH10,,,PT,29.9
2015,N_KH_04010102_01,KH10,,,PT,29.9
2016,N_KH_04010102_01,KH10,,,PT,33.8
2017,N_KH_04010102_01,KH10,,,PT,34.8
2018,N_KH_04010102_01,KH10,,,PT,34.3
2019,N_KH_04010102_01,KH10,,,PT,32.8
2009,N_KH_04010102_01,KH11,F,,PT,22.0
2010,N_KH_04010102_01,KH11,F,,PT,31.8
2011,N_KH_04010102_01,KH11,F,,PT,26.2
2012,N_KH_04010102_01,KH11,F,,PT,23.7
2013,N_KH_04010102_01,KH11,F,,PT,28.4
2014,N_KH_04010102_01,KH11,F,,PT,31.4
2015,N_KH_04010102_01,KH11,F,,PT,26.9
2016,N_KH_04010102_01,KH11,F,,PT,38.4
2017,N_KH_04010102_01,KH11,F,,PT,35.3
2018,N_KH_04010102_01,KH11,F,,PT,41.0
2019,N_KH_04010102_01,KH11,F,,PT,42.7
2009,N_KH_04010102_01,KH11,M,,PT,26.9
2010,N_KH_04010102_01,KH11,M,,PT,47.9
2011,N_KH_04010102_01,KH11,M,,PT,29.7
2012,N_KH_04010102_01,KH11,M,,PT,28.0
2013,N_KH_04010102_01,KH11,M,,PT,31.1
2014,N_KH_04010102_01,KH11,M,,PT,27.8
2015,N_KH_04010102_01,KH11,M,,PT,26.5
2016,N_KH_04010102_01,KH11,M,,PT,31.3
2017,N_KH_04010102_01,KH11,M,,PT,27.9
2018,N_KH_04010102_01,KH11,M,,PT,33.8
2019,N_KH_04010102_01,KH11,M,,PT,32.7
2009,N_KH_04010102_01,KH11,,,PT,24.5
2010,N_KH_04010102_01,KH11,,,PT,39.5
2011,N_KH_04010102_01,KH11,,,PT,28.0
2012,N_KH_04010102_01,KH11,,,PT,25.9
2013,N_KH_04010102_01,KH11,,,PT,29.8
2014,N_KH_04010102_01,KH11,,,PT,29.6
2015,N_KH_04010102_01,KH11,,,PT,26.7
2016,N_KH_04010102_01,KH11,,,PT,34.8
2017,N_KH_04010102_01,KH11,,,PT,31.5
2018,N_KH_04010102_01,KH11,,,PT,37.3
2019,N_KH_04010102_01,KH11,,,PT,37.6
2009,N_KH_04010102_01,KH22,F,,PT,35.8
2010,N_KH_04010102_01,KH22,F,,PT,35.4
2011,N_KH_04010102_01,KH22,F,,PT,30.7
2012,N_KH_04010102_01,KH22,F,,PT,24.7
2013,N_KH_04010102_01,KH22,F,,PT,27.7
2014,N_KH_04010102_01,KH22,F,,PT,31.7
2015,N_KH_04010102_01,KH22,F,,PT,30.8
2016,N_KH_04010102_01,KH22,F,,PT,34.5
2017,N_KH_04010102_01,KH22,F,,PT,36.1
2018,N_KH_04010102_01,KH22,F,,PT,37.0
2019,N_KH_04010102_01,KH22,F,,PT,37.0
2009,N_KH_04010102_01,KH22,M,,PT,34.4
2010,N_KH_04010102_01,KH22,M,,PT,38.5
2011,N_KH_04010102_01,KH22,M,,PT,29.2
2012,N_KH_04010102_01,KH22,M,,PT,26.4
2013,N_KH_04010102_01,KH22,M,,PT,24.6
2014,N_KH_04010102_01,KH22,M,,PT,27.2
2015,N_KH_04010102_01,KH22,M,,PT,28.5
2016,N_KH_04010102_01,KH22,M,,PT,28.7
2017,N_KH_04010102_01,KH22,M,,PT,29.3
2018,N_KH_04010102_01,KH22,M,,PT,32.8
2019,N_KH_04010102_01,KH22,M,,PT,30.9
2009,N_KH_04010102_01,KH22,,,PT,35.1
2010,N_KH_04010102_01,KH22,,,PT,37.0
2011,N_KH_04010102_01,KH22,,,PT,29.9
2012,N_KH_04010102_01,KH22,,,PT,25.6
2013,N_KH_04010102_01,KH22,,,PT,26.1
2014,N_KH_04010102_01,KH22,,,PT,29.3
2015,N_KH_04010102_01,KH22,,,PT,29.6
2016,N_KH_04010102_01,KH22,,,PT,31.5
2017,N_KH_04010102_01,KH22,,,PT,32.6
2018,N_KH_04010102_01,KH22,,,PT,34.8
2019,N_KH_04010102_01,KH22,,,PT,33.8
2009,N_KH_04010102_01,KH24,F,,PT,42.8
2010,N_KH_04010102_01,KH24,F,,PT,31.9
2011,N_KH_04010102_01,KH24,F,,PT,32.6
2012,N_KH_04010102_01,KH24,F,,PT,30.2
2013,N_KH_04010102_01,KH24,F,,PT,26.9
2014,N_KH_04010102_01,KH24,F,,PT,27.4
2015,N_KH_04010102_01,KH24,F,,PT,26.8
2016,N_KH_04010102_01,KH24,F,,PT,27.5
2017,N_KH_04010102_01,KH24,F,,PT,32.9
2018,N_KH_04010102_01,KH24,F,,PT,31.4
2019,N_KH_04010102_01,KH24,F,,PT,32.1
2009,N_KH_04010102_01,KH24,M,,PT,45.5
2010,N_KH_04010102_01,KH24,M,,PT,43.1
2011,N_KH_04010102_01,KH24,M,,PT,32.4
2012,N_KH_04010102_01,KH24,M,,PT,32.3
2013,N_KH_04010102_01,KH24,M,,PT,26.4
2014,N_KH_04010102_01,KH24,M,,PT,26.1
2015,N_KH_04010102_01,KH24,M,,PT,23.2
2016,N_KH_04010102_01,KH24,M,,PT,25.7
2017,N_KH_04010102_01,KH24,M,,PT,27.4
2018,N_KH_04010102_01,KH24,M,,PT,26.6
2019,N_KH_04010102_01,KH24,M,,PT,28.6
2009,N_KH_04010102_01,KH24,,,PT,44.2
2010,N_KH_04010102_01,KH24,,,PT,37.6
2011,N_KH_04010102_01,KH24,,,PT,32.5
2012,N_KH_04010102_01,KH24,,,PT,31.3
2013,N_KH_04010102_01,KH24,,,PT,26.6
2014,N_KH_04010102_01,KH24,,,PT,26.7
2015,N_KH_04010102_01,KH24,,,PT,24.9
2016,N_KH_04010102_01,KH24,,,PT,26.6
2017,N_KH_04010102_01,KH24,,,PT,30.0
2018,N_KH_04010102_01,KH24,,,PT,28.9
2019,N_KH_04010102_01,KH24,,,PT,30.3
2009,N_KH_04010102_01,KH12,F,,PT,65.1
2010,N_KH_04010102_01,KH12,F,,PT,46.5
2011,N_KH_04010102_01,KH12,F,,PT,54.6
2012,N_KH_04010102_01,KH12,F,,PT,52.4
2013,N_KH_04010102_01,KH12,F,,PT,50.0
2014,N_KH_04010102_01,KH12,F,,PT,51.9
2015,N_KH_04010102_01,KH12,F,,PT,43.2
2016,N_KH_04010102_01,KH12,F,,PT,44.4
2017,N_KH_04010102_01,KH12,F,,PT,44.9
2018,N_KH_04010102_01,KH12,F,,PT,45.8
2019,N_KH_04010102_01,KH12,F,,PT,47.0
2009,N_KH_04010102_01,KH12,M,,PT,76.2
2010,N_KH_04010102_01,KH12,M,,PT,54.8
2011,N_KH_04010102_01,KH12,M,,PT,66.8
2012,N_KH_04010102_01,KH12,M,,PT,57.4
2013,N_KH_04010102_01,KH12,M,,PT,53.4
2014,N_KH_04010102_01,KH12,M,,PT,57.4
2015,N_KH_04010102_01,KH12,M,,PT,47.8
2016,N_KH_04010102_01,KH12,M,,PT,47.1
2017,N_KH_04010102_01,KH12,M,,PT,45.9
2018,N_KH_04010102_01,KH12,M,,PT,45.6
2019,N_KH_04010102_01,KH12,M,,PT,47.4
2009,N_KH_04010102_01,KH12,,,PT,70.6
2010,N_KH_04010102_01,KH12,,,PT,50.5
2011,N_KH_04010102_01,KH12,,,PT,60.6
2012,N_KH_04010102_01,KH12,,,PT,54.9
2013,N_KH_04010102_01,KH12,,,PT,51.7
2014,N_KH_04010102_01,KH12,,,PT,54.6
2015,N_KH_04010102_01,KH12,,,PT,45.5
2016,N_KH_04010102_01,KH12,,,PT,45.7
2017,N_KH_04010102_01,KH12,,,PT,45.4
2018,N_KH_04010102_01,KH12,,,PT,45.7
2019,N_KH_04010102_01,KH12,,,PT,47.2
2009,N_KH_04010102_01,KH18,F,,PT,37.8
2010,N_KH_04010102_01,KH18,F,,PT,39.2
2011,N_KH_04010102_01,KH18,F,,PT,35.2
2012,N_KH_04010102_01,KH18,F,,PT,34.1
2013,N_KH_04010102_01,KH18,F,,PT,30.6
2014,N_KH_04010102_01,KH18,F,,PT,31.1
2015,N_KH_04010102_01,KH18,F,,PT,29.7
2016,N_KH_04010102_01,KH18,F,,PT,33.7
2017,N_KH_04010102_01,KH18,F,,PT,31.8
2018,N_KH_04010102_01,KH18,F,,PT,34.1
2019,N_KH_04010102_01,KH18,F,,PT,32.7
2009,N_KH_04010102_01,KH18,M,,PT,46.2
2010,N_KH_04010102_01,KH18,M,,PT,46.5
2011,N_KH_04010102_01,KH18,M,,PT,39.4
2012,N_KH_04010102_01,KH18,M,,PT,33.2
2013,N_KH_04010102_01,KH18,M,,PT,31.9
2014,N_KH_04010102_01,KH18,M,,PT,33.1
2015,N_KH_04010102_01,KH18,M,,PT,30.5
2016,N_KH_04010102_01,KH18,M,,PT,33.8
2017,N_KH_04010102_01,KH18,M,,PT,27.6
2018,N_KH_04010102_01,KH18,M,,PT,32.0
2019,N_KH_04010102_01,KH18,M,,PT,29.3
2009,N_KH_04010102_01,KH18,,,PT,42.1
2010,N_KH_04010102_01,KH18,,,PT,43.0
2011,N_KH_04010102_01,KH18,,,PT,37.4
2012,N_KH_04010102_01,KH18,,,PT,33.6
2013,N_KH_04010102_01,KH18,,,PT,31.2
2014,N_KH_04010102_01,KH18,,,PT,32.1
2015,N_KH_04010102_01,KH18,,,PT,30.1
2016,N_KH_04010102_01,KH18,,,PT,33.7
2017,N_KH_04010102_01,KH18,,,PT,29.6
2018,N_KH_04010102_01,KH18,,,PT,33.0
2019,N_KH_04010102_01,KH18,,,PT,30.9
2009,N_KH_04010102_01,KH13,F,,PT,39.0
2010,N_KH_04010102_01,KH13,F,,PT,43.4
2011,N_KH_04010102_01,KH13,F,,PT,38.4
2012,N_KH_04010102_01,KH13,F,,PT,38.4
2013,N_KH_04010102_01,KH13,F,,PT,44.5
2014,N_KH_04010102_01,KH13,F,,PT,44.6
2015,N_KH_04010102_01,KH13,F,,PT,42.4
2016,N_KH_04010102_01,KH13,F,,PT,46.3
2017,N_KH_04010102_01,KH13,F,,PT,53.5
2018,N_KH_04010102_01,KH13,F,,PT,57.4
2019,N_KH_04010102_01,KH13,F,,PT,58.3
2009,N_KH_04010102_01,KH13,M,,PT,37.5
2010,N_KH_04010102_01,KH13,M,,PT,43.2
2011,N_KH_04010102_01,KH13,M,,PT,35.5
2012,N_KH_04010102_01,KH13,M,,PT,36.1
2013,N_KH_04010102_01,KH13,M,,PT,36.4
2014,N_KH_04010102_01,KH13,M,,PT,35.8
2015,N_KH_04010102_01,KH13,M,,PT,35.3
2016,N_KH_04010102_01,KH13,M,,PT,38.0
2017,N_KH_04010102_01,KH13,M,,PT,40.8
2018,N_KH_04010102_01,KH13,M,,PT,43.9
2019,N_KH_04010102_01,KH13,M,,PT,45.3
2009,N_KH_04010102_01,KH13,,,PT,38.2
2010,N_KH_04010102_01,KH13,,,PT,43.3
2011,N_KH_04010102_01,KH13,,,PT,37.0
2012,N_KH_04010102_01,KH13,,,PT,37.2
2013,N_KH_04010102_01,KH13,,,PT,40.3
2014,N_KH_04010102_01,KH13,,,PT,40.1
2015,N_KH_04010102_01,KH13,,,PT,38.8
2016,N_KH_04010102_01,KH13,,,PT,42.1
2017,N_KH_04010102_01,KH13,,,PT,47.0
2018,N_KH_04010102_01,KH13,,,PT,50.5
2019,N_KH_04010102_01,KH13,,,PT,51.6
2009,N_KH_04010102_01,KH14,F,,PT,43.7
2010,N_KH_04010102_01,KH14,F,,PT,44.2
2011,N_KH_04010102_01,KH14,F,,PT,41.0
2012,N_KH_04010102_01,KH14,F,,PT,38.3
2013,N_KH_04010102_01,KH14,F,,PT,39.8
2014,N_KH_04010102_01,KH14,F,,PT,42.8
2015,N_KH_04010102_01,KH14,F,,PT,46.2
2016,N_KH_04010102_01,KH14,F,,PT,51.0
2017,N_KH_04010102_01,KH14,F,,PT,58.7
2018,N_KH_04010102_01,KH14,F,,PT,60.2
2019,N_KH_04010102_01,KH14,F,,PT,57.9
2009,N_KH_04010102_01,KH14,M,,PT,52.1
2010,N_KH_04010102_01,KH14,M,,PT,53.8
2011,N_KH_04010102_01,KH14,M,,PT,44.0
2012,N_KH_04010102_01,KH14,M,,PT,41.7
2013,N_KH_04010102_01,KH14,M,,PT,42.5
2014,N_KH_04010102_01,KH14,M,,PT,43.0
2015,N_KH_04010102_01,KH14,M,,PT,42.1
2016,N_KH_04010102_01,KH14,M,,PT,44.9
2017,N_KH_04010102_01,KH14,M,,PT,47.1
2018,N_KH_04010102_01,KH14,M,,PT,47.1
2019,N_KH_04010102_01,KH14,M,,PT,47.0
2009,N_KH_04010102_01,KH14,,,PT,48.0
2010,N_KH_04010102_01,KH14,,,PT,49.1
2011,N_KH_04010102_01,KH14,,,PT,42.6
2012,N_KH_04010102_01,KH14,,,PT,40.1
2013,N_KH_04010102_01,KH14,,,PT,41.2
2014,N_KH_04010102_01,KH14,,,PT,42.9
2015,N_KH_04010102_01,KH14,,,PT,44.0
2016,N_KH_04010102_01,KH14,,,PT,47.8
2017,N_KH_04010102_01,KH14,,,PT,52.6
2018,N_KH_04010102_01,KH14,,,PT,53.3
2019,N_KH_04010102_01,KH14,,,PT,52.2
2009,N_KH_04010102_01,KH15,F,,PT,47.4
2010,N_KH_04010102_01,KH15,F,,PT,46.6
2011,N_KH_04010102_01,KH15,F,,PT,38.6
2012,N_KH_04010102_01,KH15,F,,PT,33.3
2013,N_KH_04010102_01,KH15,F,,PT,35.3
2014,N_KH_04010102_01,KH15,F,,PT,35.1
2015,N_KH_04010102_01,KH15,F,,PT,36.3
2016,N_KH_04010102_01,KH15,F,,PT,41.3
2017,N_KH_04010102_01,KH15,F,,PT,45.9
2018,N_KH_04010102_01,KH15,F,,PT,45.8
2019,N_KH_04010102_01,KH15,F,,PT,47.0
2009,N_KH_04010102_01,KH15,M,,PT,45.7
2010,N_KH_04010102_01,KH15,M,,PT,44.5
2011,N_KH_04010102_01,KH15,M,,PT,34.6
2012,N_KH_04010102_01,KH15,M,,PT,31.2
2013,N_KH_04010102_01,KH15,M,,PT,31.8
2014,N_KH_04010102_01,KH15,M,,PT,30.1
2015,N_KH_04010102_01,KH15,M,,PT,30.6
2016,N_KH_04010102_01,KH15,M,,PT,36.3
2017,N_KH_04010102_01,KH15,M,,PT,36.2
2018,N_KH_04010102_01,KH15,M,,PT,36.5
2019,N_KH_04010102_01,KH15,M,,PT,38.3
2009,N_KH_04010102_01,KH15,,,PT,46.5
2010,N_KH_04010102_01,KH15,,,PT,45.6
2011,N_KH_04010102_01,KH15,,,PT,36.5
2012,N_KH_04010102_01,KH15,,,PT,32.2
2013,N_KH_04010102_01,KH15,,,PT,33.5
2014,N_KH_04010102_01,KH15,,,PT,32.5
2015,N_KH_04010102_01,KH15,,,PT,33.4
2016,N_KH_04010102_01,KH15,,,PT,38.7
2017,N_KH_04010102_01,KH15,,,PT,40.9
2018,N_KH_04010102_01,KH15,,,PT,41.0
2019,N_KH_04010102_01,KH15,,,PT,42.5
2009,N_KH_04010102_01,KH16,F,,PT,16.9
2010,N_KH_04010102_01,KH16,F,,PT,16.8
2011,N_KH_04010102_01,KH16,F,,PT,18.9
2012,N_KH_04010102_01,KH16,F,,PT,21.3
2013,N_KH_04010102_01,KH16,F,,PT,22.8
2014,N_KH_04010102_01,KH16,F,,PT,24.1
2015,N_KH_04010102_01,KH16,F,,PT,23.7
2016,N_KH_04010102_01,KH16,F,,PT,28.8
2017,N_KH_04010102_01,KH16,F,,PT,34.4
2018,N_KH_04010102_01,KH16,F,,PT,40.5
2019,N_KH_04010102_01,KH16,F,,PT,48.2
2009,N_KH_04010102_01,KH16,M,,PT,25.0
2010,N_KH_04010102_01,KH16,M,,PT,25.8
2011,N_KH_04010102_01,KH16,M,,PT,27.0
2012,N_KH_04010102_01,KH16,M,,PT,26.5
2013,N_KH_04010102_01,KH16,M,,PT,25.9
2014,N_KH_04010102_01,KH16,M,,PT,26.2
2015,N_KH_04010102_01,KH16,M,,PT,27.8
2016,N_KH_04010102_01,KH16,M,,PT,31.5
2017,N_KH_04010102_01,KH16,M,,PT,38.7
2018,N_KH_04010102_01,KH16,M,,PT,40.4
2019,N_KH_04010102_01,KH16,M,,PT,45.6
2009,N_KH_04010102_01,KH16,,,PT,21.1
2010,N_KH_04010102_01,KH16,,,PT,21.2
2011,N_KH_04010102_01,KH16,,,PT,23.1
2012,N_KH_04010102_01,KH16,,,PT,24.0
2013,N_KH_04010102_01,KH16,,,PT,24.4
2014,N_KH_04010102_01,KH16,,,PT,25.2
2015,N_KH_04010102_01,KH16,,,PT,25.8
2016,N_KH_04010102_01,KH16,,,PT,30.1
2017,N_KH_04010102_01,KH16,,,PT,36.7
2018,N_KH_04010102_01,KH16,,,PT,40.4
2019,N_KH_04010102_01,KH16,,,PT,46.8
2009,N_KH_04010102_01,KH17,F,,PT,43.7
2010,N_KH_04010102_01,KH17,F,,PT,46.6
2011,N_KH_04010102_01,KH17,F,,PT,42.3
2012,N_KH_04010102_01,KH17,F,,PT,40.8
2013,N_KH_04010102_01,KH17,F,,PT,41.5
2014,N_KH_04010102_01,KH17,F,,PT,42.3
2015,N_KH_04010102_01,KH17,F,,PT,43.8
2016,N_KH_04010102_01,KH17,F,,PT,49.9
2017,N_KH_04010102_01,KH17,F,,PT,52.3
2018,N_KH_04010102_01,KH17,F,,PT,56.0
2019,N_KH_04010102_01,KH17,F,,PT,55.8
2009,N_KH_04010102_01,KH17,M,,PT,40.9
2010,N_KH_04010102_01,KH17,M,,PT,43.6
2011,N_KH_04010102_01,KH17,M,,PT,37.1
2012,N_KH_04010102_01,KH17,M,,PT,33.3
2013,N_KH_04010102_01,KH17,M,,PT,31.1
2014,N_KH_04010102_01,KH17,M,,PT,31.8
2015,N_KH_04010102_01,KH17,M,,PT,34.3
2016,N_KH_04010102_01,KH17,M,,PT,35.8
2017,N_KH_04010102_01,KH17,M,,PT,36.6
2018,N_KH_04010102_01,KH17,M,,PT,40.1
2019,N_KH_04010102_01,KH17,M,,PT,41.2
2009,N_KH_04010102_01,KH17,,,PT,42.3
2010,N_KH_04010102_01,KH17,,,PT,45.1
2011,N_KH_04010102_01,KH17,,,PT,39.6
2012,N_KH_04010102_01,KH17,,,PT,37.0
2013,N_KH_04010102_01,KH17,,,PT,36.2
2014,N_KH_04010102_01,KH17,,,PT,36.9
2015,N_KH_04010102_01,KH17,,,PT,38.9
2016,N_KH_04010102_01,KH17,,,PT,42.6
2017,N_KH_04010102_01,KH17,,,PT,44.2
2018,N_KH_04010102_01,KH17,,,PT,47.8
2019,N_KH_04010102_01,KH17,,,PT,48.3
2009,N_KH_04010102_01,KH19,F,,PT,38.0
2010,N_KH_04010102_01,KH19,F,,PT,40.3
2011,N_KH_04010102_01,KH19,F,,PT,36.0
2012,N_KH_04010102_01,KH19,F,,PT,30.9
2013,N_KH_04010102_01,KH19,F,,PT,30.3
2014,N_KH_04010102_01,KH19,F,,PT,27.7
2015,N_KH_04010102_01,KH19,F,,PT,27.4
2016,N_KH_04010102_01,KH19,F,,PT,28.9
2017,N_KH_04010102_01,KH19,F,,PT,34.0
2018,N_KH_04010102_01,KH19,F,,PT,36.8
2019,N_KH_04010102_01,KH19,F,,PT,40.4
2009,N_KH_04010102_01,KH19,M,,PT,39.0
2010,N_KH_04010102_01,KH19,M,,PT,42.9
2011,N_KH_04010102_01,KH19,M,,PT,31.1
2012,N_KH_04010102_01,KH19,M,,PT,30.7
2013,N_KH_04010102_01,KH19,M,,PT,32.2
2014,N_KH_04010102_01,KH19,M,,PT,29.5
2015,N_KH_04010102_01,KH19,M,,PT,24.6
2016,N_KH_04010102_01,KH19,M,,PT,27.8
2017,N_KH_04010102_01,KH19,M,,PT,33.2
2018,N_KH_04010102_01,KH19,M,,PT,34.6
2019,N_KH_04010102_01,KH19,M,,PT,35.6
2009,N_KH_04010102_01,KH19,,,PT,38.5
2010,N_KH_04010102_01,KH19,,,PT,41.6
2011,N_KH_04010102_01,KH19,,,PT,33.5
2012,N_KH_04010102_01,KH19,,,PT,30.8
2013,N_KH_04010102_01,KH19,,,PT,31.2
2014,N_KH_04010102_01,KH19,,,PT,28.6
2015,N_KH_04010102_01,KH19,,,PT,26.0
2016,N_KH_04010102_01,KH19,,,PT,28.4
2017,N_KH_04010102_01,KH19,,,PT,33.6
2018,N_KH_04010102_01,KH19,,,PT,35.6
2019,N_KH_04010102_01,KH19,,,PT,38.0
2009,N_KH_04010102_01,KH20,F,,PT,48.0
2010,N_KH_04010102_01,KH20,F,,PT,38.7
2011,N_KH_04010102_01,KH20,F,,PT,42.4
2012,N_KH_04010102_01,KH20,F,,PT,40.3
2013,N_KH_04010102_01,KH20,F,,PT,40.2
2014,N_KH_04010102_01,KH20,F,,PT,44.6
2015,N_KH_04010102_01,KH20,F,,PT,48.6
2016,N_KH_04010102_01,KH20,F,,PT,56.6
2017,N_KH_04010102_01,KH20,F,,PT,58.1
2018,N_KH_04010102_01,KH20,F,,PT,62.9
2019,N_KH_04010102_01,KH20,F,,PT,58.6
2009,N_KH_04010102_01,KH20,M,,PT,59.0
2010,N_KH_04010102_01,KH20,M,,PT,62.4
2011,N_KH_04010102_01,KH20,M,,PT,52.1
2012,N_KH_04010102_01,KH20,M,,PT,49.3
2013,N_KH_04010102_01,KH20,M,,PT,47.8
2014,N_KH_04010102_01,KH20,M,,PT,48.8
2015,N_KH_04010102_01,KH20,M,,PT,47.9
2016,N_KH_04010102_01,KH20,M,,PT,50.4
2017,N_KH_04010102_01,KH20,M,,PT,52.6
2018,N_KH_04010102_01,KH20,M,,PT,50.8
2019,N_KH_04010102_01,KH20,M,,PT,48.4
2009,N_KH_04010102_01,KH20,,,PT,53.8
2010,N_KH_04010102_01,KH20,,,PT,49.7
2011,N_KH_04010102_01,KH20,,,PT,47.4
2012,N_KH_04010102_01,KH20,,,PT,45.0
2013,N_KH_04010102_01,KH20,,,PT,44.2
2014,N_KH_04010102_01,KH20,,,PT,46.8
2015,N_KH_04010102_01,KH20,,,PT,48.3
2016,N_KH_04010102_01,KH20,,,PT,53.3
2017,N_KH_04010102_01,KH20,,,PT,55.2
2018,N_KH_04010102_01,KH20,,,PT,56.5
2019,N_KH_04010102_01,KH20,,,PT,53.2
2009,N_KH_04010102_01,KH21,F,,PT,60.8
2010,N_KH_04010102_01,KH21,F,,PT,58.7
2011,N_KH_04010102_01,KH21,F,,PT,52.7
2012,N_KH_04010102_01,KH21,F,,PT,52.9
2013,N_KH_04010102_01,KH21,F,,PT,52.9
2014,N_KH_04010102_01,KH21,F,,PT,57.5
2015,N_KH_04010102_01,KH21,F,,PT,57.6
2016,N_KH_04010102_01,KH21,F,,PT,61.8
2017,N_KH_04010102_01,KH21,F,,PT,65.7
2018,N_KH_04010102_01,KH21,F,,PT,65.0
2019,N_KH_04010102_01,KH21,F,,PT,60.3
2009,N_KH_04010102_01,KH21,M,,PT,69.4
2010,N_KH_04010102_01,KH21,M,,PT,66.2
2011,N_KH_04010102_01,KH21,M,,PT,58.9
2012,N_KH_04010102_01,KH21,M,,PT,56.3
2013,N_KH_04010102_01,KH21,M,,PT,55.2
2014,N_KH_04010102_01,KH21,M,,PT,57.1
2015,N_KH_04010102_01,KH21,M,,PT,54.0
2016,N_KH_04010102_01,KH21,M,,PT,55.5
2017,N_KH_04010102_01,KH21,M,,PT,57.8
2018,N_KH_04010102_01,KH21,M,,PT,55.7
2019,N_KH_04010102_01,KH21,M,,PT,50.0
2009,N_KH_04010102_01,KH21,,,PT,65.3
2010,N_KH_04010102_01,KH21,,,PT,62.5
2011,N_KH_04010102_01,KH21,,,PT,55.9
2012,N_KH_04010102_01,KH21,,,PT,54.7
2013,N_KH_04010102_01,KH21,,,PT,54.1
2014,N_KH_04010102_01,KH21,,,PT,57.3
2015,N_KH_04010102_01,KH21,,,PT,55.7
2016,N_KH_04010102_01,KH21,,,PT,58.5
2017,N_KH_04010102_01,KH21,,,PT,61.5
2018,N_KH_04010102_01,KH21,,,PT,60.1
2019,N_KH_04010102_01,KH21,,,PT,54.9
2014,N_KH_04010102_01,KH25,F,,PT,34.8
2015,N_KH_04010102_01,KH25,F,,PT,35.3
2016,N_KH_04010102_01,KH25,F,,PT,41.8
2017,N_KH_04010102_01,KH25,F,,PT,45.4
2018,N_KH_04010102_01,KH25,F,,PT,45.5
2019,N_KH_04010102_01,KH25,F,,PT,47.2
2014,N_KH_04010102_01,KH25,M,,PT,30.3
2015,N_KH_04010102_01,KH25,M,,PT,29.7
2016,N_KH_04010102_01,KH25,M,,PT,31.2
2017,N_KH_04010102_01,KH25,M,,PT,33.8
2018,N_KH_04010102_01,KH25,M,,PT,35.2
2019,N_KH_04010102_01,KH25,M,,PT,34.6
2014,N_KH_04010102_01,KH25,,,PT,32.5
2015,N_KH_04010102_01,KH25,,,PT,32.4
2016,N_KH_04010102_01,KH25,,,PT,36.3
2017,N_KH_04010102_01,KH25,,,PT,39.4
2018,N_KH_04010102_01,KH25,,,PT,40.1
2019,N_KH_04010102_01,KH25,,,PT,40.6
